Réf. fournisseur,Désignation,EAN13,Prix HT,Stock,Conditionnement,Famille,Réf. modèle,Nom modèle,Couleur,Taille,Unité,TVA %,Poids kg,Actif
000101,Mug isotherme inox 450 ml,3761000001011,"13,20 €",21,1 pc,Maison > Cuisine,,,,,pc,20,"0,25",Oui
000102,Bouteille verre 750 ml,3761000001028,8.90,0,1 pc,Maison > Cuisine,,,,,pc,20,"0,25",Oui
000103,Boîte repas bambou,3761000001035," 14,95 ",12,1 pc,Maison > Cuisine,,,,,pc,20,"0,25",Oui
000105,Câble USB-C tressé 2 m,3761000001059,"9,90",rupture,1 pc,Électronique > Accessoires,,,,,pc,20,"0,25",Oui
000106,Chargeur USB-C 30 W,3761000001066,"12,5O",14,1 pc,Électronique > Accessoires,,,,,pc,20,"0,25",Oui
000107,Support téléphone aluminium,3761000001073,,9,1 pc,Électronique > Accessoires,,,,,pc,20,"0,25",Oui
000108,Hub USB-C 6-en-1,3761000001080,"39,90",-3,1 pc,Électronique > Accessoires,,,,,pc,20,"0,25",Oui
000109,Tapis de souris XL,,"11,90",24,1 pc,Électronique > Accessoires,,,,,pc,20,"0,25",Oui
000110,Lampe de bureau LED,3761000001104,"29,90",8,1 pc,Maison > Bureau,,,,,pc,20,"0,25",Oui
000111,Carnet A5 recyclé,3761000001110,"4,50",50,1 pc,Papeterie,,,,,pc,20,"0,25",Oui
000112,Stylo gel noir lot de 3,3761000001110,"3,90",70,3 pcs,Papeterie,,,,,pc,20,"0,25",Oui
 000113 ,  Bougie   parfumée   cèdre  ,3761000001134,"15,90",16,1 pc,Maison > Décoration,,,,,pc,20,"0,25",Oui
000114,Sachets rangement sous vide,3761000001141,"18,90",20,12 pcs,Maison > Rangement,,,,,pc,20,"0,25",Oui
000115,Granola noisette,3761000001158,"7,50",15,"0,5 kg",Épicerie,,,,,pc,20,"0,25",Oui
000116,Casque Bluetooth Urban,3761000001165,"97,50",6,1 pc,Électronique > Audio,,,,,pc,20,"0,25",Oui
000117,Enceinte Bluetooth Mini,3761000001172,"34,90",15,1 pc,Électronique > Audio,,,,,pc,20,"0,25",Oui
000118,Tapis yoga antidérapant,3761000001189,"24,90",11,1 pc,Sport > Fitness,,,,,pc,20,"0,25",Oui
000119,Gourde sport 1 L,3761000001196,"13,90",19,1 pc,Sport > Fitness,,,,,pc,20,"0,25",Oui
000120,Élastiques fitness lot,3761000001202,"9,50",,5 pcs,Sport > Fitness,,,,,pc,20,"0,25",Oui
000121,Crème mains karité,3761000001219,"5,90",28,box x 6,Beauté,,,,,pc,20,"0,25",Oui
000122,Savon solide lavande,3761000001226,0,40,1 pc,Beauté,,,,,pc,20,"0,25",Oui
000123,Shampoing solide agrumes,3761000001233,"7,90",22,1 pc,Beauté,,,,,pc,20,"0,25",Oui
000124,Serviette microfibre,3761000001240,"12,90",13,1 pc,Maison > Salle de bain,,,,,pc,vingt,"0,25",Oui
000125,Panier rangement coton,3761000001257,"19,90",10,1 pc,Maison > Rangement,,,,,pc,20,"0,25",Oui
